pack_id,acquisition_id,visualisation_url,gadi_location,particle_id
16,TUBE-01_2025-02-18_16__firstscan,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/mjfkOjA-RDpPQwcffKxIpAFXrp_JGBClaydadJ5Rk-Y=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomoHiRes.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/pack_tomo/tomoHiRes.ome.zarr,
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0002,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/FMtQwOAYTmrqh3ms4qoSP6Ewc9kvrbVWQES-nHd2zIU=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0002.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0002.ome.zarr,RT-XRM43971-0002
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0003,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/8SXl6I5KSJzEV6b0Q56W6Asoh242-1XiVlKgOOqFiSs=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0003.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0003.ome.zarr,RT-XRM43971-0003
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0005,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/DdVceB9Va5ndU0fzjzmDLTt78In95Vumb6r_iQ3BQck=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0005.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0005.ome.zarr,RT-XRM43971-0005
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0006,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/yybb9vS3f-DDlcL1snazJ1Bhqng88awOQnGBQw66AMc=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0006.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0006.ome.zarr,RT-XRM43971-0006
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0008,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/2B5FZppPYEjYJMIDWQEfvvZOCJBqKsbDi2-CVU_lu1I=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0008.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0008.ome.zarr,RT-XRM43971-0008
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0010,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/D1Kyq7VW-rcRUyLcgrFl8LJB-pxMd5i5XFocN5CW71k=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0010.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0010.ome.zarr,RT-XRM43971-0010
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0011,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/uJNPrDfduIvzORSAdIClRBAVgMvmXYaRN1spX4HIMls=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0011.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0011.ome.zarr,RT-XRM43971-0011
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0012,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/u_6sw72w0le8kg-gQzVRKo9XDukLg8xkqQXUwiUwhu4=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0012.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0012.ome.zarr,RT-XRM43971-0012
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0014,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/0o6qfKemD4kM4XC3w9ySam2jUKYAutL5GJ0qVbZxdpA=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0014.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0014.ome.zarr,RT-XRM43971-0014
