measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,density_g_per_cm3,density_g_per_cm3_std,machine,cup,created_at,valid,volume_measurement_id,volume_cm3,volume_valid
205,RT-XRM43971-0001,HGM,RM43971,1190562,2.05,Indiana Veal,4.1979,0.0199,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:47.813556+11:00,True,68,0.0841,True
206,RT-XRM43971-0002,HGM,RM43971,1190567,2.55,Indiana Veal,4.8549,0.0123,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:47.891416+11:00,True,69,0.0844,True
207,RT-XRM43971-0003,HGM,RM43971,1190567,2.55,Indiana Veal,4.9093,0.039,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:47.973185+11:00,True,70,0.0599,True
208,RT-XRM43971-0004,HGM,RM43971,1190567,2.55,Indiana Veal,4.2508,0.0185,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.045117+11:00,True,71,0.0808,True
209,RT-XRM43971-0005,HGM,RM43971,1190567,2.55,Indiana Veal,4.6041,0.0163,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.127692+11:00,True,72,0.1156,True
210,RT-XRM43971-0006,HGM,RM43971,1190567,2.55,Indiana Veal,4.1846,0.0062,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.219021+11:00,True,73,0.0858,True
211,RT-XRM43971-0007,HGM,RM43971,1190567,2.55,Indiana Veal,4.5982,0.0216,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.298431+11:00,True,74,0.1003,True
212,RT-XRM43971-0008,HGM,RM43971,1190567,2.55,Indiana Veal,3.8839,0.0038,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.390016+11:00,True,75,0.1356,True
213,RT-XRM43971-0009,HGM,RM43971,1190569,2.75,Indiana Veal,3.6122,0.0071,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.470936+11:00,True,76,0.3351,True
214,RT-XRM43971-0010,HGM,RM43971,1190569,2.75,Indiana Veal,4.6733,0.0082,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-01-31 17:08:48.557663+11:00,True,77,0.1645,True
