measurement_id,particle_id,operator,magnetic_susceptibility,machine,created_at,valid,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility
1,RT-XRM43971-0001,Pengxiang Hu,1.4426666666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.365058,True,0.0017154181529924694,4.085716982913244e-07
2,RT-XRM43971-0002,Pengxiang Hu,2.1724666666666665e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.393221,True,0.0024599903372890053,5.306464745155512e-07
3,RT-XRM43971-0003,Pengxiang Hu,4.436866666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.406033,True,0.007340822730707081,1.5091383219954652e-06
4,RT-XRM43971-0004,Pengxiang Hu,1.347e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.420948,True,0.0016164646585863434,3.936294564582116e-07
5,RT-XRM43971-0005,Pengxiang Hu,3.9167333333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.431590,True,0.0033881776239907727,7.359513967180258e-07
6,RT-XRM43971-0006,Pengxiang Hu,1.9797e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.441360,True,0.0023073426573426573,5.516021175814991e-07
7,RT-XRM43971-0007,Pengxiang Hu,4.085266666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.452974,True,0.004073047524094384,8.86174981923355e-07
8,RT-XRM43971-0008,Pengxiang Hu,1.8354333333333335e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.463184,True,0.0013532450552475328,3.4847794443389666e-07
9,RT-XRM43971-0009,Pengxiang Hu,0.00025812,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.473301,True,0.007702775290957922,2.1323420074349446e-06
10,RT-XRM43971-0010,Pengxiang Hu,5.480966666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.484158,True,0.003331894630192503,7.129249046132502e-07
11,RT-XRM43971-0011,Pengxiang Hu,2.5937000000000003e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.495969,True,0.0025805649245341216,5.250404858299596e-07
12,RT-XRM43971-0012,Pengxiang Hu,4.0983e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.509296,True,0.006629193490990262,1.298162812796959e-06
13,RT-XRM43971-0013,Pengxiang Hu,2.3899666666666668e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.518504,True,0.001373544061302682,3.510526831179006e-07
14,RT-XRM43971-0014,Pengxiang Hu,2.748433333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.527361,True,0.0018889576174112256,4.5968110609354964e-07
15,RT-XRM43971-0015,Pengxiang Hu,3.5295333333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.537434,True,0.002653784461152882,5.13835104576115e-07
16,RT-XRM43971-0016,Pengxiang Hu,1.6794333333333336e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.547577,True,0.0020082909815645244,4.416075028486283e-07
17,RT-XRM43971-0017,Pengxiang Hu,3.214833333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.557944,True,0.0016486324786324786,3.979739209375258e-07
18,RT-XRM43971-0018,Pengxiang Hu,1.4017666666666666e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.567056,True,0.0017108485691735623,4.233665559246954e-07
19,RT-XRM43971-0019,Pengxiang Hu,1.6532333333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.578333,True,0.0014476649153531817,3.6697743248242695e-07
20,RT-XRM43971-0020,Pengxiang Hu,5.2362333333333325e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.590230,True,0.009728616638487881,1.9985623409669207e-06
21,RT-XRM43971-0021,Pengxiang Hu,2.4416333333333335e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.600395,True,0.0017939995101640953,4.494079391373704e-07
22,RT-XRM43971-0022,Pengxiang Hu,1.8427e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.611211,True,0.0014149472859764573,3.6758428086973875e-07
23,RT-XRM43971-0023,Pengxiang Hu,4.172766666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.621343,True,0.006183158976182715,1.4106716249718279e-06
24,RT-XRM43971-0024,Pengxiang Hu,2.6822333333333332e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.633672,True,0.004556042487656837,9.388286080970715e-07
25,RT-XRM43971-0025,Pengxiang Hu,2.6798e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.649509,True,0.0034786785227493996,7.356025253911611e-07
26,RT-XRM43971-0026,Pengxiang Hu,3.5595999999999996e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.660487,True,0.0025818899236951286,5.167077950355639e-07
27,RT-XRM43971-0027,Pengxiang Hu,2.126866666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.676492,True,0.0014113249281132495,3.584204022019998e-07
28,RT-XRM43971-0028,Pengxiang Hu,1.965766666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.689751,True,0.0016752313019665996,3.8044642281143156e-07
29,RT-XRM43971-0029,Pengxiang Hu,4.050966666666666e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.701455,True,0.0028249418874941885,6.362441756976073e-07
30,RT-XRM43971-0030,Pengxiang Hu,1.4801000000000001e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.716941,True,0.0020646700238536974,4.196484264247236e-07
31,RT-XRM43971-0031,Pengxiang Hu,2.4194333333333337e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.729860,True,0.0014444378109452738,3.705104645227157e-07
32,RT-XRM43971-0032,Pengxiang Hu,4.991633333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.743030,True,0.003925814071155363,8.088856479230811e-07
33,RT-XRM43971-0033,Pengxiang Hu,2.4410000000000002e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.757644,True,0.0013324235807860264,3.3143245078071963e-07
34,RT-XRM43971-0034,Pengxiang Hu,1.5994666666666668e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:27.771039,True,0.0014042727538776704,3.4426747022528343e-07
