pack_id,tube_id,particle_id,id,ore_type,rm_number,density_bin,created_at,density_g_per_cm3,volume_cm3,weight_g,axis_length_mm,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility,photo_url
15,TUBE-01,RT-XRM43971-0003,119,HGM,RM43971,1190567,2025-02-10T10:00:18.431927,4.864366,0.060441,0.294,12.25,0.007340822730707081,1.5091383219954652e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0003/20250218093324
16,TUBE-01,RT-XRM43971-0002,120,HGM,RM43971,1190567,2025-01-24T03:31:30.251090,4.635852,0.088312,0.4094,12.15,0.0024599903372890053,5.306464745155512e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0002/20250218093016
16,TUBE-01,RT-XRM43971-0003,121,HGM,RM43971,1190567,2025-02-10T10:00:18.431927,4.864366,0.060441,0.294,12.25,0.007340822730707081,1.5091383219954652e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0003/20250218093324
16,TUBE-01,RT-XRM43971-0005,122,HGM,RM43971,1190567,2025-02-10T10:00:18.504667,4.6041,0.1156,0.5322,13.7,0.0033881776239907727,7.359513967180258e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0005/20250218093634
16,TUBE-01,RT-XRM43971-0006,123,HGM,RM43971,1190567,2025-02-10T10:00:18.577751,4.1846,0.0858,0.3589,8.01,0.0023073426573426573,5.516021175814991e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0006/20250218093957
16,TUBE-01,RT-XRM43971-0008,124,HGM,RM43971,1190567,2025-02-10T10:00:18.724427,3.883296,0.135632,0.5267,10.6,0.0013532450552475328,3.4847794443389666e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0008/20250218094416
16,TUBE-01,RT-XRM43971-0010,125,HGM,RM43971,1190569,2025-02-10T10:00:18.872073,4.6733,0.1645,0.7688,11.62,0.003331894630192503,7.129249046132502e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0010/20250218094820
16,TUBE-01,RT-XRM43971-0011,126,HGM,RM43971,1190569,2025-02-10T10:00:18.949268,4.915012,0.100509,0.494,11.9,0.0025805649245341216,5.250404858299596e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0011/20250218105330
16,TUBE-01,RT-XRM43971-0012,127,HGM,RM43971,1190569,2025-02-10T10:00:19.025457,5.10669,0.061822,0.3157,11.89,0.006629193490990262,1.298162812796959e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0012/20250218105730
16,TUBE-01,RT-XRM43971-0014,128,HGM,RM43971,1190569,2025-02-10T10:00:19.169118,4.1086,0.1455,0.5979,11.62,0.0018889576174112256,4.5968110609354964e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0014/20250218110006
16,TUBE-01,RT-XRM43971-0016,129,HGM,RM43971,1190569,2025-02-10T10:00:19.318096,4.54821,0.083625,0.3803,8.79,0.0020082909815645244,4.416075028486283e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0016/20250218110401
16,TUBE-01,RT-XRM43971-0017,130,HGM,RM43971,1190569,2025-02-10T10:00:19.393309,4.1424,0.195,0.8078,8.94,0.0016486324786324786,3.979739209375258e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0017/20250218111126
16,TUBE-01,RT-XRM43971-0018,131,HGM,RM43971,1190569,2025-02-10T10:00:19.467294,4.041092,0.081934,0.3311,10.11,0.0017108485691735623,4.233665559246954e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0018/20250218111818
