created_at,particle_id,ore_type,rm_number,density_bin
2025-01-24T03:28:58.479406,RT-XRM43971-0001,HGM,RM43971,1190562
2025-01-24T03:31:30.251090,RT-XRM43971-0002,HGM,RM43971,1190567
2025-01-24T03:45:20.861591,RT-XRM43971-0009,HGM,RM43971,1190569
2025-01-27T22:22:09.964050,RT-XRM43971-0041,HGM,RM43971,1190572
2025-01-28T03:57:11.090636,RT-XRM43971-0087,HGM,RM43971,1190574
2025-01-28T21:43:04.743271,RT-XRM43971-0197,HGM,RM43971,1190577
2025-01-29T21:22:37.181952,RT-XRM43971-0234,HGM,RM43971,1190579
2025-01-30T05:05:27.347984,RT-XRM43971-0439,GOL,RM43971,1190569
2025-01-30T05:10:13.167091,RT-XRM43971-0445,SHL,RM43971,1190564
2025-01-30T05:11:21.173377,RT-XRM43971-0446,SHL,RM43971,1190562
2025-01-30T05:14:29.025600,RT-XRM43971-0429,GMO,RM43971,1190574
2025-01-30T05:15:01.441698,RT-XRM43971-0431,GMO,RM43971,1190577
2025-01-30T05:17:07.713197,RT-XRM43971-0542,GOE,RM43971,1190572
2025-01-30T05:17:24.069404,RT-XRM43971-0421,GOE,RM43971,1190577
2025-01-30T05:17:45.849992,RT-XRM43971-0441,GOE,RM43971,1190569
2025-01-30T05:19:08.818734,RT-XRM43971-0414,GOE,RM43971,1190574
2025-01-30T05:25:22.608267,RT-XRM43971-0505,GOV,RM43971,1190579
2025-01-30T05:27:35.969925,RT-XRM43971-0514,GOC,RM43971,1190574
2025-01-30T05:28:04.429852,RT-XRM43971-0519,GOC,RM43971,1190577
2025-01-30T05:29:42.732749,RT-XRM43971-0518,GMI,RM43971,1190567
2025-01-30T21:23:50.474337,RT-XRM43971-0198,HGM,RM43971,1190579
2025-01-30T21:51:42.958843,RT-XRM43971-0235,HGM,RM43971,1190583
2025-01-30T22:06:26.787105,RT-XRM43971-0240,HGM,RM43971,1190585
2025-01-30T22:09:51.612456,RT-XRM43971-0241,HGM,RM43971,1190587
2025-01-30T22:14:42.385696,RT-XRM43971-0242,HGF,RM43971,1190574
2025-02-02T21:50:06.405945,RT-XRM43971-0257,HGF,RM43971,1190577
2025-02-03T04:30:00.470420,RT-XRM43971-0300,H2M,RM43971,1190579
