measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,weight_g,machine,created_at,valid
467,RT-XRM43971-0001,HGM,RM43971,1190562,2.05,Tereza Zavodna,0.3532,Sartorius,2025-01-24 14:28:58.408697+11:00,True
468,RT-XRM43971-0002,HGM,RM43971,1190567,2.55,Tereza Zavodna,0.4104,Sartorius,2025-01-24 14:31:30.194610+11:00,True
469,RT-XRM43971-0004,HGM,RM43971,1190567,2.55,Tereza Zavodna,0.344,Sartorius,2025-01-24 14:33:02.711178+11:00,True
470,RT-XRM43971-0003,HGM,RM43971,1190567,2.55,Tereza Zavodna,0.2944,Sartorius,2025-01-24 14:33:43.005979+11:00,True
471,RT-XRM43971-0005,HGM,RM43971,1190567,2.55,Tereza Zavodna,0.5327,Sartorius,2025-01-24 14:34:58.344892+11:00,True
472,RT-XRM43971-0006,HGM,RM43971,1190567,2.55,Tereza Zavodna,0.3599,Sartorius,2025-01-24 14:35:59.693019+11:00,True
473,RT-XRM43971-0007,HGM,RM43971,1190567,2.55,Tereza Zavodna,0.4615,Sartorius,2025-01-24 14:36:46.840883+11:00,True
474,RT-XRM43971-0008,HGM,RM43971,1190567,2.55,Tereza Zavodna,0.5276,Sartorius,2025-01-24 14:37:39.417585+11:00,True
475,RT-XRM43971-0009,HGM,RM43971,1190569,2.75,Tereza Zavodna,1.2108,Sartorius,2025-01-24 14:45:20.798549+11:00,True
476,RT-XRM43971-0010,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.769,Sartorius,2025-01-24 14:46:44.956142+11:00,True
477,RT-XRM43971-0011,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.4947,Sartorius,2025-01-24 14:48:30.549074+11:00,True
478,RT-XRM43971-0012,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.3163,Sartorius,2025-01-24 14:49:13.483528+11:00,True
479,RT-XRM43971-0013,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.6824,Sartorius,2025-01-24 14:49:53.977445+11:00,True
480,RT-XRM43971-0014,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.5984,Sartorius,2025-01-24 14:50:43.649594+11:00,True
481,RT-XRM43971-0015,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.6871,Sartorius,2025-01-24 14:51:40.150994+11:00,True
482,RT-XRM43971-0016,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.381,Sartorius,2025-01-24 14:52:39.578223+11:00,True
483,RT-XRM43971-0017,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.8084,Sartorius,2025-01-24 14:53:36.708191+11:00,True
484,RT-XRM43971-0018,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.3317,Sartorius,2025-01-24 14:54:29.729787+11:00,True
485,RT-XRM43971-0019,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.4513,Sartorius,2025-01-24 14:55:17.681583+11:00,True
486,RT-XRM43971-0020,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.2625,Sartorius,2025-01-24 14:56:05.392704+11:00,True
487,RT-XRM43971-0021,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.5448,Sartorius,2025-01-24 14:57:10.760997+11:00,True
488,RT-XRM43971-0022,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.5028,Sartorius,2025-01-24 14:58:12.036593+11:00,True
489,RT-XRM43971-0023,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.2863,Sartorius,2025-01-24 14:59:08.219215+11:00,True
490,RT-XRM43971-0024,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.2961,Sartorius,2025-01-24 15:00:07.738980+11:00,True
491,RT-XRM43971-0025,HGM,RM43971,1190569,2.75,Tereza Zavodna,0.3648,Sartorius,2025-01-24 15:02:18.337027+11:00,True
